File 0001_0.8_0.2.jpg: PSNR=15.40, SSIM=0.8868, time=0.0500s
File 0002_0.8_0.08.jpg: PSNR=14.39, SSIM=0.7873, time=0.0378s
File 0003_0.8_0.2.jpg: PSNR=17.02, SSIM=0.8556, time=0.0294s
File 0004_0.9_0.12.jpg: PSNR=13.22, SSIM=0.8657, time=0.0427s
File 0006_0.85_0.08.jpg: PSNR=13.24, SSIM=0.8584, time=0.0417s
File 0007_0.9_0.16.jpg: PSNR=16.38, SSIM=0.8494, time=0.0405s
File 0009_0.8_0.16.jpg: PSNR=18.26, SSIM=0.8942, time=0.0383s
File 0010_0.95_0.16.jpg: PSNR=20.76, SSIM=0.9137, time=0.0421s
File 0011_0.95_0.16.jpg: PSNR=17.82, SSIM=0.8780, time=0.0531s
File 0014_0.8_0.12.jpg: PSNR=13.96, SSIM=0.7887, time=0.0386s
File 0016_0.8_0.08.jpg: PSNR=15.28, SSIM=0.8628, time=0.0425s
File 0017_0.9_0.08.jpg: PSNR=15.61, SSIM=0.8283, time=0.0501s
File 0018_0.9_0.2.jpg: PSNR=15.83, SSIM=0.8679, time=0.0588s
File 0019_0.8_0.16.jpg: PSNR=14.31, SSIM=0.8773, time=0.0446s
File 0021_0.8_0.08.jpg: PSNR=11.28, SSIM=0.7936, time=0.0353s
File 0022_0.8_0.08.jpg: PSNR=10.87, SSIM=0.7485, time=0.0377s
File 0023_0.85_0.12.jpg: PSNR=14.96, SSIM=0.8620, time=0.0440s
File 0024_0.85_0.08.jpg: PSNR=14.49, SSIM=0.8370, time=0.0385s
File 0025_0.8_0.16.jpg: PSNR=18.61, SSIM=0.8701, time=0.0396s
File 0026_0.95_0.08.jpg: PSNR=16.31, SSIM=0.8571, time=0.0389s
File 0029_0.85_0.08.jpg: PSNR=13.95, SSIM=0.8220, time=0.0377s
File 0030_0.95_0.12.jpg: PSNR=21.42, SSIM=0.9536, time=0.0377s
File 0033_0.85_0.08.jpg: PSNR=14.61, SSIM=0.8471, time=0.0401s
File 0034_0.9_0.16.jpg: PSNR=14.42, SSIM=0.8109, time=0.0477s
File 0036_1_0.08.jpg: PSNR=10.68, SSIM=0.7755, time=0.0380s
File 0039_0.9_0.2.jpg: PSNR=18.24, SSIM=0.9182, time=0.0371s
File 0040_1_0.08.jpg: PSNR=17.65, SSIM=0.9117, time=0.0413s
File 0042_0.8_0.2.jpg: PSNR=12.19, SSIM=0.8338, time=0.0880s
File 0045_0.8_0.16.jpg: PSNR=9.31, SSIM=0.6941, time=0.0751s
File 0046_0.9_0.16.jpg: PSNR=15.23, SSIM=0.7972, time=0.0449s
File 0047_0.9_0.12.jpg: PSNR=20.38, SSIM=0.8362, time=0.0297s
File 0048_0.9_0.2.jpg: PSNR=15.58, SSIM=0.8227, time=0.0454s
File 0049_0.85_0.12.jpg: PSNR=14.69, SSIM=0.8408, time=0.0713s
File 0051_0.8_0.2.jpg: PSNR=20.57, SSIM=0.9456, time=0.0424s
File 0051_0.95_0.12.jpg: PSNR=25.54, SSIM=0.9643, time=0.0381s
File 0052_0.9_0.16.jpg: PSNR=18.02, SSIM=0.8633, time=0.0499s
File 0053_0.9_0.12.jpg: PSNR=17.39, SSIM=0.8715, time=0.0409s
File 0054_0.85_0.16.jpg: PSNR=14.43, SSIM=0.8702, time=0.0387s
File 0055_0.85_0.12.jpg: PSNR=15.84, SSIM=0.8456, time=0.0401s
File 0056_0.8_0.16.jpg: PSNR=12.51, SSIM=0.7841, time=0.0581s
File 0057_0.8_0.12.jpg: PSNR=16.25, SSIM=0.8515, time=0.0402s
File 0058_0.8_0.2.jpg: PSNR=22.55, SSIM=0.9338, time=0.0560s
File 0059_0.9_0.12.jpg: PSNR=18.30, SSIM=0.8646, time=0.0420s
File 0060_0.9_0.2.jpg: PSNR=13.63, SSIM=0.7979, time=0.0815s
File 0061_0.8_0.2.jpg: PSNR=14.36, SSIM=0.7987, time=0.0280s
File 0062_0.9_0.2.jpg: PSNR=15.04, SSIM=0.8504, time=0.0407s
File 0063_0.8_0.16.jpg: PSNR=16.95, SSIM=0.8808, time=0.0386s
File 0064_0.8_0.2.jpg: PSNR=17.26, SSIM=0.8726, time=0.0415s
File 0065_0.9_0.12.jpg: PSNR=19.45, SSIM=0.8887, time=0.0425s
File 0066_1_0.08.jpg: PSNR=8.79, SSIM=0.6883, time=0.0439s
File 0068_1_0.16.jpg: PSNR=17.76, SSIM=0.8833, time=0.0813s
File 0069_0.9_0.16.jpg: PSNR=20.87, SSIM=0.9182, time=0.0316s
File 0070_0.9_0.12.jpg: PSNR=15.35, SSIM=0.8627, time=0.0593s
File 0071_0.8_0.2.jpg: PSNR=17.90, SSIM=0.9090, time=0.0382s
File 0072_0.9_0.2.jpg: PSNR=19.95, SSIM=0.7975, time=0.0275s
File 0073_0.8_0.16.jpg: PSNR=15.77, SSIM=0.7116, time=0.0370s
File 0074_0.8_0.2.jpg: PSNR=18.18, SSIM=0.8392, time=0.0687s
File 0075_0.8_0.2.jpg: PSNR=13.59, SSIM=0.8659, time=0.0742s
File 0076_0.8_0.2.jpg: PSNR=18.52, SSIM=0.9301, time=0.0321s
File 0076_1_0.16.jpg: PSNR=20.03, SSIM=0.9453, time=0.0328s
File 0077_0.8_0.2.jpg: PSNR=18.09, SSIM=0.8347, time=0.0662s
File 0079_0.8_0.12.jpg: PSNR=13.64, SSIM=0.8460, time=0.0402s
File 0081_0.8_0.2.jpg: PSNR=14.43, SSIM=0.7603, time=0.0630s
File 0082_0.85_0.16.jpg: PSNR=18.38, SSIM=0.8559, time=0.0371s
File 0083_0.85_0.12.jpg: PSNR=14.05, SSIM=0.7979, time=0.0375s
File 0084_0.95_0.16.jpg: PSNR=21.74, SSIM=0.9509, time=0.0364s
File 0085_0.95_0.08.jpg: PSNR=20.13, SSIM=0.8508, time=0.0745s
File 0086_0.8_0.2.jpg: PSNR=21.28, SSIM=0.9129, time=0.0478s
File 0086_0.95_0.12.jpg: PSNR=21.44, SSIM=0.9194, time=0.0378s
File 0087_0.9_0.16.jpg: PSNR=13.59, SSIM=0.8471, time=0.0563s
File 0088_0.9_0.12.jpg: PSNR=20.96, SSIM=0.9323, time=0.0415s
File 0089_0.9_0.2.jpg: PSNR=14.86, SSIM=0.8573, time=0.0832s
File 0090_0.85_0.12.jpg: PSNR=15.02, SSIM=0.8858, time=0.0620s
File 0091_0.85_0.2.jpg: PSNR=14.41, SSIM=0.8169, time=0.0543s
File 0092_0.85_0.2.jpg: PSNR=16.33, SSIM=0.8892, time=0.0566s
File 0093_0.8_0.08.jpg: PSNR=12.28, SSIM=0.7903, time=0.0440s
File 0094_0.8_0.2.jpg: PSNR=16.56, SSIM=0.8733, time=0.0366s
File 0095_0.8_0.08.jpg: PSNR=16.97, SSIM=0.8680, time=0.0377s
File 0096_0.8_0.2.jpg: PSNR=16.15, SSIM=0.9074, time=0.0359s
File 0097_0.85_0.08.jpg: PSNR=14.06, SSIM=0.8141, time=0.0377s
File 0098_0.85_0.2.jpg: PSNR=18.53, SSIM=0.9270, time=0.0609s
File 0099_0.9_0.16.jpg: PSNR=21.91, SSIM=0.9488, time=0.0693s
File 0100_0.9_0.12.jpg: PSNR=14.88, SSIM=0.8255, time=0.0436s
File 0101_0.9_0.08.jpg: PSNR=15.70, SSIM=0.8253, time=0.0542s
File 0102_0.85_0.12.jpg: PSNR=10.99, SSIM=0.7185, time=0.0559s
File 0104_0.95_0.12.jpg: PSNR=13.42, SSIM=0.8261, time=0.0705s
File 0105_0.95_0.2.jpg: PSNR=15.22, SSIM=0.8550, time=0.0725s
File 0106_0.9_0.08.jpg: PSNR=15.70, SSIM=0.8240, time=0.0380s
File 0107_0.9_0.08.jpg: PSNR=10.61, SSIM=0.7333, time=0.0407s
File 0108_0.8_0.16.jpg: PSNR=20.10, SSIM=0.8615, time=0.0677s
File 0108_1_0.2.jpg: PSNR=22.66, SSIM=0.8470, time=0.0721s
File 0109_0.85_0.08.jpg: PSNR=16.51, SSIM=0.8662, time=0.0513s
File 0110_0.8_0.12.jpg: PSNR=16.45, SSIM=0.8259, time=0.0550s
File 0111_0.8_0.2.jpg: PSNR=18.32, SSIM=0.8880, time=0.0698s
File 0112_0.8_0.2.jpg: PSNR=12.55, SSIM=0.7291, time=0.0604s
File 0113_0.9_0.08.jpg: PSNR=25.51, SSIM=0.8886, time=0.0421s
File 0115_0.8_0.12.jpg: PSNR=18.08, SSIM=0.9011, time=0.0387s
File 0116_0.9_0.16.jpg: PSNR=13.51, SSIM=0.7759, time=0.0705s
File 0117_0.9_0.12.jpg: PSNR=12.05, SSIM=0.7797, time=0.0728s
File 0118_0.9_0.2.jpg: PSNR=19.82, SSIM=0.9123, time=0.0648s
File 0119_0.85_0.12.jpg: PSNR=15.92, SSIM=0.8006, time=0.0699s
File 0120_0.85_0.08.jpg: PSNR=10.84, SSIM=0.7657, time=0.0766s
File 0121_0.85_0.2.jpg: PSNR=15.58, SSIM=0.8634, time=0.0333s
File 0123_1_0.08.jpg: PSNR=19.40, SSIM=0.8847, time=0.0658s
File 0125_0.8_0.12.jpg: PSNR=13.06, SSIM=0.7791, time=0.0743s
File 0126_0.8_0.2.jpg: PSNR=17.66, SSIM=0.8860, time=0.0404s
File 0127_0.8_0.2.jpg: PSNR=12.90, SSIM=0.7892, time=0.0362s
File 0129_0.8_0.16.jpg: PSNR=16.46, SSIM=0.8625, time=0.0812s
File 0131_0.95_0.08.jpg: PSNR=17.05, SSIM=0.8790, time=0.0374s
File 0132_1_0.08.jpg: PSNR=12.69, SSIM=0.7894, time=0.0432s
File 0133_1_0.2.jpg: PSNR=17.05, SSIM=0.8495, time=0.0389s
File 0134_0.95_0.16.jpg: PSNR=16.62, SSIM=0.8864, time=0.0381s
File 0135_0.95_0.12.jpg: PSNR=15.20, SSIM=0.8536, time=0.0364s
File 0137_0.8_0.2.jpg: PSNR=20.78, SSIM=0.9184, time=0.0376s
File 0138_0.9_0.08.jpg: PSNR=15.28, SSIM=0.8616, time=0.0374s
File 0139_0.85_0.12.jpg: PSNR=18.73, SSIM=0.8896, time=0.0466s
File 0140_0.95_0.12.jpg: PSNR=17.44, SSIM=0.9004, time=0.0398s
File 0141_0.95_0.12.jpg: PSNR=21.07, SSIM=0.9425, time=0.0371s
File 0142_0.95_0.08.jpg: PSNR=16.13, SSIM=0.8147, time=0.0391s
File 0143_1_0.2.jpg: PSNR=22.49, SSIM=0.9009, time=0.0368s
File 0145_0.8_0.12.jpg: PSNR=13.82, SSIM=0.8194, time=0.0406s
File 0146_0.8_0.2.jpg: PSNR=18.41, SSIM=0.8872, time=0.0412s
File 0147_1_0.16.jpg: PSNR=22.07, SSIM=0.9204, time=0.0369s
File 0148_0.9_0.12.jpg: PSNR=15.31, SSIM=0.8798, time=0.0372s
File 0149_0.9_0.08.jpg: PSNR=15.15, SSIM=0.8893, time=0.0379s
File 0150_0.8_0.16.jpg: PSNR=14.54, SSIM=0.7941, time=0.0392s
File 0151_0.8_0.08.jpg: PSNR=11.08, SSIM=0.7859, time=0.0397s
File 0152_0.8_0.2.jpg: PSNR=12.41, SSIM=0.7887, time=0.0445s
File 0153_0.8_0.08.jpg: PSNR=12.29, SSIM=0.7660, time=0.0377s
File 0154_0.8_0.2.jpg: PSNR=15.42, SSIM=0.8637, time=0.0416s
File 0155_1_0.08.jpg: PSNR=14.45, SSIM=0.8393, time=0.0421s
File 0157_0.8_0.08.jpg: PSNR=16.05, SSIM=0.8538, time=0.0455s
File 0158_0.8_0.2.jpg: PSNR=18.22, SSIM=0.8876, time=0.0396s
File 0160_0.9_0.2.jpg: PSNR=10.46, SSIM=0.7009, time=0.0373s
File 0161_0.85_0.08.jpg: PSNR=10.89, SSIM=0.7505, time=0.0366s
File 0162_0.95_0.12.jpg: PSNR=12.63, SSIM=0.8032, time=0.0362s
File 0163_0.95_0.08.jpg: PSNR=13.60, SSIM=0.8411, time=0.0378s
File 0164_0.9_0.2.jpg: PSNR=18.10, SSIM=0.8832, time=0.0428s
File 0165_0.9_0.2.jpg: PSNR=19.24, SSIM=0.9082, time=0.0393s
File 0166_0.8_0.16.jpg: PSNR=15.82, SSIM=0.8274, time=0.0369s
File 0167_0.8_0.12.jpg: PSNR=13.81, SSIM=0.8281, time=0.0367s
File 0168_0.9_0.16.jpg: PSNR=18.22, SSIM=0.8792, time=0.0370s
File 0169_0.9_0.12.jpg: PSNR=20.18, SSIM=0.8927, time=0.0360s
File 0170_0.8_0.2.jpg: PSNR=18.97, SSIM=0.8785, time=0.0386s
File 0171_0.85_0.12.jpg: PSNR=31.86, SSIM=0.9849, time=0.0409s
